Yorum No,Havayolu,Kullanıcı Adı,Katkı Sayısı,Puan,Başlık / Ana Tema,Rota,Kategori,Seyahat Tarihi,Yorum Tarihi,"Yorum İçeriği (Tam Metin - Türkçe)",Olumlu/Olumsuz/Nötr
283,SunExpress,SEBAHATTİN A,1,1,Rezalet,Dubai - Trabzon,International,Ekim 2024,11 Kasım 2024,"Bu kadar rezil bir uçak görmedim. Hizmet çok kötü. Uçakta su bile parayla satılıyor. THY de böyle bir şey yok. Bu ne rezillik? Bir daha asla tercih etmeyeceğim ve tavsiye etmiyorum.",Olumsuz
284,SunExpress,havva pınar e,1,1,80€,Antalya - Birmingham,Europe,Ekim 2024,2 Ekim 2024,"Check-in sırasında cabin size luggage’ımı bagaja vermek istedim. Ancak check-in’de görevli, bagaj satın almadığımı ve bunu boardingde uçağa alabileceğimi söyledi. Boardingde ise uyarı aldılar ve 4 kilo kabin bagajı için 80 euro ödeme istendi. Check-in’de 30 euro olacağı söylenmişti. Neden check-in’de yanlış bilgilendirildim?",Olumsuz
285,SunExpress,Ken Mert Evren,6,1,Korkudan tir tir titreyen müşteriye bir bardak su veremeyen çalışanlar,Antalya - Hannover,Europe,Eylül 2024,21 Eylül 2024,"Uçuş sırasında eşim aşırı korktuğu için kemer ikaz ışıkları sönünce görevli kabin ekibinden bir bardak su istedik. Uçağın kuyruk kısmında oturuyorduk. Önce su getirecek hostes yoktu, sonra gelen hostes menü kartı vererek diğer hostesin su vermesini engelledi. Eşim panik atak nedeniyle titriyordu. Şirket politikası gereği su vermek için doktor olup olmadığının beklendiği söylendi. İnsani yaklaşım beklerdim.",Olumsuz
286,SunExpress,Gülüstan Ç,1,1,Para geri yatmıyor!!,Izmir - Frankfurt,Europe,Ağustos 2024,10 Eylül 2024,"Bilet aldım, ödeme şeklini değiştirmek istediğim için bileti iptal edip başka ödeme yöntemi üzerinden tekrar ödeme yaptım. İlk yaptığım ödemenin iadesi bir buçuk ay olmasına rağmen hala yapılmadı. Dosya oluşturdum fakat geri dönüş alamadım. Defalarca iletişime geçtim ancak sonuç değişmedi. Kesinlikle tavsiye etmiyorum.",Olumsuz
287,SunExpress,Feyza İ,1,1,Rezilsin sunexpress,Nicosia - Antalya,Europe,Eylül 2024,2 Eylül 2024,"02.09.24 tarihinde Ercan-Antalya 09.55 uçuşu hiçbir neden açıklanmadan 14.20’ye ertelendi. Check-in sırasında öğrendik. Hala uçağa binemedik ve saat 15.00 oldu. Hiçbir açıklama yapılmıyor ve muhatap bulamıyoruz.",Olumsuz
288,SunExpress,Serdar Ö,2,1,Bulaşmayın,Izumo - Antalya,International,Ağustos 2024,30 Ağustos 2024,"Bu kadar rezil ve berbat bir şirket daha olamaz. Gecikme 10-20 dakika değil, yaklaşık 4 saat bekletiliyoruz ve beklemeye devam ediyoruz.",Olumsuz
289,SunExpress,Duygucelal,6,5,Gecikmeye rağmen güzel yolculuktu,Düsseldorf - Izmir,Europe,1 Ağustos 2024,1 Ağustos 2024,"31 Temmuz uçuşumuzda gecikme olmasına rağmen defalarca bilgilendirme anonsu yapıldı. Uçak içinde kek, çay, kahve ve su ikramı yapıldı. Uçuş rahat ve konforlu geçti. Personel güler yüzlüydü.",Olumlu
290,SunExpress,Demani E,1,1,Berbat bir Deneyim,Munich - Ankara,Europe,Temmuz 2024,23 Temmuz 2024,"23 Temmuz 2024’te Amerika’dan Ankara’ya olan uçuşumuzda United ile olan uçuşlarımız iyiydi. Ancak başlangıçta zamanında olan uçuş 1 saat kala yaklaşık 10 saat rötar olduğu bilgisi verilerek sürekli değiştirildi ve toplam rötar 12 saati buldu. Müşteri hizmetleri ile iletişim kuramadım. Bu durum nedeniyle havayolunu dava etmeyi düşünüyorum.",Olumsuz
291,SunExpress,Orhan V,1,1,Sunexpress tecrübesi,London - Izmir,Europe,Haziran 2024,2 Temmuz 2024,"Uçakları dar gövde, bu nedenle koltuklar oldukça küçük ve konforsuz. Koltuk araları dar olduğu için özellikle uzun boylu yolcular için rahatsız edici bir deneyim sunuyor. Uçak içi eğlence seçenekleri sınırlı ve dar gövde nedeniyle yolculuk sıkıcı hale gelebiliyor. Ayrıca, yeterli sayıda uçak olmaması ve çok sayıda lokasyona sefer düzenlemeleri nedeniyle rötar olasılığı yüksek ve bu durum neredeyse olağan bir durum haline gelmiş. Bu nedenle, başka bir seçenek varsa kesinlikle SunExpress’i tercih etmemenizi öneriyorum. Genel olarak, yolcu konforu ve uçuş yönetimi açısından ciddi eksiklikler mevcut.",Olumsuz
292,SunExpress,Neslihan B,1,1,Tek kelimeyle rezalet,Diyarbakir - Antalya,Domestic,Temmuz 2024,30 Haziran 2024,"İlk defa SunExpress’ten bilet aldık ve maalesef son deneyimimiz oldu. Uçuş tam 3 saat gecikti. Özellikle bebekle seyahat edenler için oldukça zor bir durumdu. Saatler önceden havalimanında olmamıza rağmen gecikmeden dolayı mağdur olduk. Uçakta yemek veya ikram gibi hizmetler yoktu ve pilotların grevde olması gibi sebepler yolculara hiçbir şekilde açıklanmadı. Genel anlamda personelin ilgisizliği ve yetersiz hizmet anlayışı bu deneyimi çok olumsuz hale getirdi. Bu yorumu okuyacak olanlara tavsiyem, daha güvenilir bir havayolunu tercih etmeleridir.",Olumsuz
293,SunExpress,Atilla Gökhan B,1,1,Rezalet,Adana - Antalya,Domestic,Haziran 2024,22 Haziran 2024,"22 Haziran tarihinde Adana-Antalya uçuşu için bilet aldık. Aynı gün sabah 04:30’ta uçuşumuzun iptal edildiğine dair bir mesaj aldık, ancak ne arama ne de başka bir bilgilendirme yapılmadı. İkibuçuk saat boyunca müşteri hizmetlerine ulaşamadım ve internet üzerinden iptal edilen uçuş için tekrar bilet almaya çalıştığımda hâlâ bilet satıldığını gördüm. Bu durum ciddi bir sahtekarlık gibi görünüyor ve mağduriyetimiz büyük. Halen ne şekilde telafi edileceği belirsiz. Süreç boyunca yaşananlar, SunExpress’in müşteri iletişimi ve hizmet yönetimi konusundaki ciddi eksikliklerini gözler önüne seriyor.",Olumsuz
294,SunExpress,Inspire34004015602,3,1,SunExpress’in müşteriye haksızlığı,Rome - Izmir,Europe,Haziran 2024,6 Haziran 2024,"SunExpress, uçuş değişikliği durumunda fiyat farkını talep ediyor, ancak fiyat düşerse geri ödeme yapmıyor. Benzer bir durumda Pegasus, ücret farkını iade etmişti. Şu anki bilet temmuz için ve Sun Classic sınıfında. Uçuş henüz gerçekleşmedi ancak tarih ve hizmet sınıfında istediğim seçenekler mevcut değildi ve bu yüzden mecburen mevcut seçenekleri işaretledim. Bu uygulama, yolcular açısından adaletsiz bir durum yaratıyor ve müşteri memnuniyetini ciddi şekilde zedeliyor.",Olumsuz
295,SunExpress,Roving40737064788,1,2,Olmaz olsun böyle havayolu (SunExpress) şirketi,Zurich - Izmir,Europe,Mart 2024,26 Mayıs 2024,"Online Check-in sırasında yaşadığım sorun nedeniyle saatlerimi harcadım. Sorunu çözmek için bizzat İzmir Havalimanı’ndaki müşteri temsilciliğine gittim. SunExpress sisteminden kaynaklanan hatalar yüzünden ödememi yapmamam gerektiği söylendi ancak bir hafta geçmeden ödeme talep edildi. Durumu müşteri temsilcisine iletmeme rağmen, Gamze Hanım sorunu çözmek için hiçbir çaba göstermedi ve geri ödeme yapılmadı. Para almak söz konusu olduğunda anında hareket ediyorlar, fakat iade söz konusu olduğunda yoklar. THY’nin direkt uçuşları olsa, SunExpress’in bu tür uygulamalara şansı yok. Bu tür bir deneyim, şirketin müşteri ilişkileri ve hizmet politikalarının ciddi eksiklikler taşıdığını gösteriyor.",Olumsuz
296,SunExpress,Sema Y,1,5,Omdat ze erg behulpzaam waren!,Izmir - Amsterdam,Europe,Mayıs 2024,22 Mayıs 2024,"SunExpress’ten gerçekten çok memnunuz. İzmir-Amsterdam uçuşumuzda yurt dışına telefonum kapalı olduğu için Türkiye numaralarını arayamadım. WhatsApp üzerinden iletişime geçtim ve kendileri beni üç kez aradı ve istediğim koltuğu alabildim. Çok kibar, çok saygılı ve inanılmaz yardımcı oldular. SunExpress’e çok teşekkür ederim, bundan sonra da sizinle uçmaktan mutluluk duyarız.",Olumlu
297,SunExpress,Adil Ahmet E,1,3,"Susma ,vur ama öldürme, çünkü vatan bizim.",Amsterdam - Izmir,Europe,Mayıs 2024,20 Mayıs 2024,"Seyahat sektörü bir hizmet zinciridir ve zincirin halkalarının kalitesinden taşıma firması da sorumludur. Olumsuz yorumlarda yolcuların yaşadıkları sorunlar SunExpress’i hedef alabilir, ancak kalkış, varış ve transit noktalardaki hizmet kalitesinin de genel değerlendirmeye etkisi vardır. Bu nedenle havayolunu tamamen yerin dibine sokmak yerine daha dengeli değerlendirme yapılmalıdır.",Nötr
298,SunExpress,Hava Teknik T,4,4,İlk defa yapmış olduğumuz İngiltere seyahatinden.,Antalya - London,Europe,Mayıs 2024,10 Mayıs 2024,"Uçuş esnasında uçağın çok kalabalık olması, erken saatlerde gerçekleşmesi ve yoğun tempoya rağmen çalışanların güler yüzlü ve nezaket sınırlarını koruyarak hizmet vermesi memnuniyet vericiydi. Başta Barış isimli host olmak üzere tüm kabin ekibine teşekkür ederim.",Olumlu
299,SunExpress,Izmira I,1,1,Ailem yerde uyuyor 12 saat oldu uçak kalkmadı,Dubai - Antalya,International,Ocak 2024,30 Ocak 2024,"Ailem Dubai havalimanından Antalya’ya uçuş için 31.01.24 XQ209 seferli uçuşu bekledi. Uçakta teknik sorun nedeniyle önce 2 saat uçak içinde bekletildiler, ardından yaklaşık 7 saat havalimanında beklemek zorunda kaldılar. Yaşlı ve çocuk yolcular için uygun dinlenme alanı sağlanmadı. Annem hasta ve iki çocukla birlikte çok zor bir süreç yaşandı. Böyle durumlarda en azından lounge veya uygun uyuma alanı sağlanması gerektiğini düşünüyorum.",Olumsuz
300,SunExpress,burhan g,1,1,Sun express cok kötü bir firma,Munich - Ankara,Europe,Aralık 2023,31 Aralık 2023,"Valizim gelmedi ve dosya oluşturmama rağmen zararım giderilmedi. Valizimde değerli eşyalarım vardı ve iş yerime teslim etmem gereken ekipmanlar nedeniyle işten çıkarılma riskiyle karşı karşıya kaldım. Daha önce de valizim kırılmıştı ve şikayet oluşturmama rağmen geri dönüş alamadım. SunExpress’in müşteri memnuniyetine önem vermeyen bir firma olduğunu düşünüyorum ve kesinlikle tercih edilmemesi gerektiğini belirtirim.",Olumsuz
301,SunExpress,Miray,6,2,HASARLI BAGAJ,Abu Dhabi - Antalya,International,Kasım 2023,27 Kasım 2023,"Gidiş dönüşlü uçtum. İlk seferde her şey yolundaydı ancak dönüş uçuşumda benimle birlikte aynı uçakta bulunan birçok kişinin valizi hasar gördü. Büyük bir sorumsuzluk örneği olarak değerlendiriyorum.",Olumsuz
302,SunExpress,Faruk Y,1,1,Bagaj hasar değerinin tümünü ödemekten kaçıyorlar,Bremen - Antalya,Europe,Kasım 2023,15 Kasım 2023,"Bavulumda yaklaşık 10x10 cm boyutunda hasar oluştu. İner inmez rapor tuttum ve bavulun güncel değerinin ödenmesini talep ettim. Fatura olmadığı için önce sadece üçte bir ödeme yapıldı. Fatura bulununca tekrar ilettim ve tam ödeme yapılmasını bekliyorum. Kanunen bavulun güncel değerinin tamamının ödenmesi gerektiğini düşünüyorum.",Olumsuz
303,SunExpress,Mine Sahin,2,5,Harika,Dublin - Antalya,Europe,Ekim 2023,29 Ekim 2023,"29 Ekim 2023 Dubai-Antalya uçuşundaki kabin amiri profesyonel ve güler yüzlüydü. Ekibin genel hizmeti de iyiydi. Uçuş korkum ve tansiyon problemim olmasına rağmen kabin ekibi çok yardımcı oldu. Pilotun performansından da memnun kaldım. Olumsuz yorumlara rağmen deneyimim oldukça olumlu geçti.",Olumlu
304,SunExpress,İsil C,15,5,Teşekkürler,Brussels - Ankara,Europe,Ekim 2023,28 Ekim 2023,"Belçika-Ankara uçuşu saatinde kalktı. Personel çok ilgili ve güler yüzlüydü. Uçuş korkum ve tansiyon problemim olduğu için kabin ekibi bana çok yardımcı oldu. 3 saatlik uçuş çok rahat geçti. Pilotun iniş performansı da oldukça başarılıydı. SunExpress ailesine teşekkür ederim.",Olumlu
305,SunExpress,Adem A,2,1,Sonuncu uçuştu müşterisine yalancı muamelesi yapan şirkete 1 kuruşumu helal etmem,Antalya - Hannover,Europe,Ekim 2023,10 Ekim 2023,"Online check-in adı altında 5 euro ücret almak için sistemsel sorunlar oluşturulduğunu düşünüyorum. Öncelikle web sitesinin düzgün çalışması gerektiğini, yolculardan ücret alınmasının etik olmadığını düşünüyorum. Valiz taşıma konusunda da sorun yaşadım ve bir valizim hasarlı teslim edildi.",Olumsuz
306,SunExpress,Adem A,2,1,Sunexpress hava yollarını önermiyorum,Antalya - Hannover,Europe,Ekim 2023,10 Ekim 2023,"09.10.2023 tarihinde Antalya-Hannover uçuşunu gerçekleştirdim. Online check-in için kişi başı 5€ talep ediyorlar. Öncelikle web sitenizi düzgün hale getirin, ardından ücret talep edin; aksi halde bu durum yolculara haksızlık oluyor. Ayrıca, personel insanları yanıltmak için yanlış bilgiler kullanıyor, örneğin çocuğun doğum tarihini yanlış yazmışlar. Bunun yanında bagajım hasarlı geldi ve banttan çıkar çıkmaz kırılmıştı. Bu nedenle SunExpress'i kesinlikle önermiyorum. Yolcuların haklarını korumakta başarısız bir havayolu şirketi olarak değerlendirebilirim. Hem web sitesi hem de yer hizmetleri açısından ciddi eksiklikler var ve müşteri memnuniyeti göz ardı ediliyor.",Olumsuz
307,SunExpress,Muammer Elmas,5,1,Her şey bir tuzak,Düsseldorf - Antalya,Europe,Eylül 2023,20 Eylül 2023,"Senelerdir SunExpress ile tatil uçuşları gerçekleştiriyorum, ancak son dönemde müşteri hizmetleri tamamen sıfırlanmış durumda. Uçak biletleri fiyat olarak Türk Hava Yolları ile neredeyse eşit olmasına rağmen sunulan hizmet neredeyse hiç yok, her şey ekstra ücret karşılığı. Son olarak getirdikleri online check-in sistemi, yolcuları koltuk rezervasyonu yapmak zorunda bırakıyor ve bunun için ayrıca ücret talep ediliyor. Online check-in yapmayan yolcular, havaalanında ceza ödemek zorunda bırakılıyor. Tüm bu uygulamalar yolcuların mağduriyetini artırıyor ve şirketin müşteri odaklı olmadığını gösteriyor. Kesinlikle bir daha bu havayolu ile uçmayı düşünmüyorum.",Olumsuz
308,SunExpress,Arslan R,1,1,Bagajlar uçağa yüklenmedi hostes yalan söyledi yolcuları yanılttı,Gaziantep - Düsseldorf,Europe,Ağustos 2023,11 Eylül 2023,"Uçuş başlamadan önce çile başladı; yaklaşık 2 saatlik rötar vardı ve uçağa bagajlar alınmamıştı. Hostese sorduğumuzda her şeyin yolunda olduğunu ve bagajların hemen peşimizden geleceğini söylediler. Ancak uçaktan indiğimizde valizlerimiz yoktu ve kimse bize net bir bilgi veremedi. Havaalanı sorumlularını aradık, fakat bilgi sağlayan olmadı. Yolcuların bagaj konusunda yanıltılması ve doğru bilgi verilmemesi ciddi bir güven sorunu oluşturuyor. Bilet almayı düşünenler iki kez düşünmeli.",Olumsuz
309,SunExpress,infopol,1,1,Karşılaştığım en kötü müşteri hizmeti,Diyarbakir - Vienna,Europe,Eylül 2023,3 Eylül 2023,"Hayatımda gördüğüm en kötü müşteri hizmetiydi. Çalışanlar oldukça ilgisiz ve bıkkın görünüyordu. Bilgi almak için defalarca aradım, telefon yüzüme kapatıldı. Tekrar şikayette bulunmak istediğimde yine aynı şekilde davranıldı. Uçuş gecikmişti ve bağlantılı uçak kaçmıştı; otelde kalmak istememe rağmen kimse yardımcı olmadı. Bu durum, yolculara hizmet sunma konusunda ciddi bir eksikliği ve şirketin müşteri memnuniyetine ne kadar az önem verdiğini gösteriyor. Ucuz bilet ucuz kalite mantığıyla hareket ediyorlar, ancak insanlara karşı temel saygıyı göstermeleri gerekiyor.",Olumsuz
310,SunExpress,Hakan U,1,1,Gecikme,Antalya - Munich,Europe,Ağustos 2023,20 Ağustos 2023,"Beş para etmez bir havayolu şirketi olarak değerlendiriyorum. Bu firma ile en az 10 kez uçtum ve bir kez bile uçağın saatinde kalktığını görmedim. Sürekli rötarlar ve programın düzensizliği, yolcuların planlarını aksatıyor ve güven sorunu yaratıyor. Uçuş öncesi ve sırasında müşteri bilgilendirmesi yetersiz. Bu nedenle SunExpress'i güvenilir bir seçenek olarak görmüyorum ve tavsiye etmiyorum.",Olumsuz
311,SunExpress,ozlem k,1,1,SunExpress kesinlikle tavsiye etmiyorum tam bir rezillik,Nuremberg - Izmir,Europe,Ağustos 2023,16 Ağustos 2023,"2 saat içinde aldığım bileti eski soy ismimle aldığımı fark edince hemen aradım ancak yardımcı olmadılar. SunExpress aracı acenteyi ara diyor, acente ise firma kabul etmiyor diyor. Almanya’dan çıkış yapamamama neden olan bu durum nedeniyle havayolunun destek olmaması büyük mağduriyet yarattı.",Olumsuz
312,SunExpress,Umut Akalin,3,1,Evcil hayvan seyahat reddi,London - Dalaman,Europe,Temmuz 2023,17 Temmuz 2023,"Müşteri hizmetlerinin onayıyla Gatwick-Dalaman uçuşu için evcil hayvanlarımızı da biletimize ekledik. Ancak havaalanına gittiğimizde Gatwick’ten evcil hayvan uçuşunun mümkün olmadığını öğrendik. Check-in süresi boyunca müşteri hizmetleri defalarca aramamıza rağmen kimse geri dönüş yapmadı. Yanlış bilgilendirme nedeniyle evcil hayvanlarımızla birlikte uçuşa kabul edilmedik ve büyük stres yaşadık.",Olumsuz
313,SunExpress,Nuriye Özcan,1,1,Bilet iptali,Izmir - Düsseldorf,Europe,Ağustos 2022,11 Haziran 2023,"Beklenmedik bir nedenle yeşil pasaport probleminden dolayı yolcu değişikliği yapmak istedik ancak bilet değişimine izin verilmedi. Geçerli bir sebep olmasına rağmen yardımcı olunmadı ve bilet ücretinin tamamen kaybolması mağduriyet oluşturdu.",Olumsuz
314,SunExpress,Bayram D,1,1,Depremzedelere ikram eleştirisi,Adana - Frankfurt,Europe,Şubat 2023,8 Şubat 2023,"08.02.2023 tarihli Frankfurt uçuşunda yolcuların büyük kısmı depremzedelerdi. Uçuş sırasında bir çay veya simit ikramı bile yapılmaması nedeniyle havayolunu kınıyorum.",Olumsuz
315,SunExpress,Orno,3,5,En iyi müşteri hizmetleri,Düsseldorf - Kayseri,Europe,Şubat 2023,1 Şubat 2023,"Yıllardır bu havayolunu tercih ediyorum ve büyük bir sorun yaşamadım. Bagaj hakkı için ekstra ücret talep eden şirketlere rağmen SunExpress’te hizmetlerin daha kapsamlı olduğunu düşünüyorum. Müşteri hizmetleri tarafından aranarak web sitesindeki hata nedeniyle oluşan bilet sorunu çözüldü ve iade işlemi gerçekleştirildi.",Olumlu
316,SunExpress,Taner G,1,1,SunExpress Puan kaydetme işlemi,Izmir - Bonn,Europe,Aralık 2022,9 Ocak 2023,"10 Aralık 2022 tarihinde İzmir’den Köln’e yaptığım XQ 982 uçuşunda soyadım yanlış yazıldığı için SunExpress puan kaydetme sistemine girmeye çalıştım. Sistem sürekli hata verdi ve talebimin mükerrer olduğunu belirten mesajlar aldım. Whatsapp üzerinden iki kez doğrudan SunExpress çalışanları ile iletişime geçmeme rağmen bilet bilgim sisteme eklenemedi. SunExpress'in kullanıcı deneyimi ve puan kaydetme işlemlerindeki eksiklikleri ciddi şekilde mağduriyet yarattı. Milyar dolarlık bir firmanın basit bir yazılım problemi için çözüm üretememesi oldukça hayal kırıklığı yarattı ve süreç boyunca hiçbir etkili destek sağlanmadı.",Olumsuz
317,SunExpress,Ecem T,1,5,Memnuniyet,Antalya - Adana,Domestic,Aralık 2022,11 Aralık 2022,"6 Aralık 20:15 seferinde hostes ve kabin ekibi yaşlı yolcu olan teyzeme son derece ilgili ve kibar şekilde destek oldu. Tatlı sözleri ve güler yüzleriyle hem yolcunun hem de bizim deneyimimizi çok olumlu etkiledi. SunExpress ekibinin bu profesyonellik ve ilgisi takdire değerdi ve yolculuğumuzu güvenli ve konforlu hale getirdi.",Olumlu
318,SunExpress,Beyza D,7,1,Rötar,Izmir - Adana,Domestic,Kasım 2022,6 Kasım 2022,"15:40 seferli uçuş 15:30 civarında rötar yaptığı bilgisini aldı. Biz 14:55’ten beri havalimanında bekliyorduk ve uçağın pistte bile olmaması, personelin rötar hakkında net bilgi verememesi büyük rahatsızlık yarattı. Normalde rötar bilgisinin en az iki saat önceden verilmesi gerekirken yaşanan belirsizlik ciddi bir aksaklık oluşturdu. Bu deneyim yolculuğumun olumsuz şekilde başlamasına neden oldu ve ilk uçuşumda yaşadığım bu sorun tekrar uçmayı düşündüğümde aklımda olumsuz bir iz bıraktı.",Olumsuz
319,SunExpress,Pia l,2,1,Organize işler,Izmir - Frankfurt,Europe,Kasım 2022,4 Kasım 2022,"Check-in sırasında el bagajlarının durumu hakkında net bir bilgi verilmedi. Gate bölümünde üç personelin elinde tartı ile yolcuların el bagajlarını kontrol etmeye çalışmaları ve bazı yolculara ekstra ücret dayatılması ciddi bir kaos yarattı. Benim sıra numaram 11 olmasına rağmen sıraya alınmam ve bagajımın tartılması için geç kalmam, hem zaman kaybı hem de strese yol açtı. Check-in sırasında yaşanan bu koordinasyon eksikliği, planlanan yolculuk sürecini büyük ölçüde olumsuz etkiledi ve SunExpress’in süreç yönetimindeki eksikliklerini gösterdi.",Olumsuz
320,SunExpress,Y.Korkmaz,1,1,Memnun Kalmadım,Gaziantep - Bonn,Europe, Eylül 2022,27 Ekim 2022,"Gaziantep’ten Düsseldorf’a aktarmalı bir uçuşum sırasında, Gaziantep’te uçağın geç kalkması nedeniyle Antalya’daki bağlantılı uçuşumu kaçırdım. Düsseldorf’ta valizlerim gönderilmedi ve valizlerime ulaşmak için büyük mücadele verdim. İçindeki eşyalarım hasar gördü ve SunExpress’e tazmin talebi için dosya oluşturdum. 40 gün sonra geri dönüş alındı fakat sorun bizimle alakalı değil denildi. Müşteri hizmetleri süreci yönetmede yetersiz kaldı ve yaşadığım mağduriyet uzun süre devam etti. SunExpress’in hizmet kalitesi ve müşteri desteği beklentilerimi karşılamadı.",Olumsuz
321,SunExpress,Nergiz Ö,1,5,Memnuniyet,Gaziantep - Antalya,Domestic,Ekim 2022,12 Ekim 2022,"İlk defa uçağa binmeme rağmen SunExpress’in sağladığı konfor ve hizmet beni çok etkiledi. Uçuş sırasında korku veya gerginlik hissetmedim; kabin ekibi sürekli olarak yolcuların rahatını ön planda tuttu ve ilgi, alaka mükemmeldi. Güler yüzlü personel, her soruya sabırla yanıt verdi ve sanki business class hizmeti sunuluyormuş gibi bir deneyim yaşattılar. Koltuk konforu, uçak içi ortam ve genel hizmet kalitesi olağanüstüydü. Bu deneyim sayesinde SunExpress’i artık tercih edeceğim tek havayolu olarak belirledim ve bütün ekibe teşekkürlerimi sunuyorum. Yolculuğum boyunca gösterdikleri profesyonellik ve sıcak yaklaşım, uçuş deneyimimi unutulmaz kıldı ve havacılık sektöründe müşteri memnuniyetinin nasıl olması gerektiğine dair örnek teşkil etti.",Olumlu
322,SunExpress,İmam Özdemir,2,1,Gecikmeli kalkış,Gaziantep - Izmir,Domestic,Temmuz 2022,29 Temmuz 2022,"Saat 22:25’te İzmir’e uçuşumuz planlanmışken, uçak ancak 12:50’de havalandı. Bu aşırı gecikme nedeniyle büyük mağduriyet yaşadık ve SunExpress’in bilgilendirme eksikliği ciddi sıkıntılara yol açtı. Daha önce 26 Temmuz’da Gaziantep’e gelirken de 2 saat gecikme olmuştu, yani benzer sorunlar sürekli tekrar ediyordu. Yolcuların gecikme hakkında e-posta veya mesaj yoluyla bilgilendirilmemesi, havalimanında bekleyenlerin planlarını aksatıyor ve sabırsızlık yaratıyordu. Bu durum, havayolu şirketinin operasyonel süreçleri ve müşteri iletişiminde ciddi aksaklıklar olduğunu göstermektedir. Yaşanan bu tecrübeler nedeniyle SunExpress’i kullanmayı önermiyorum ve gelecekte de aynı sorunlarla karşılaşma ihtimaline karşı başka havayollarını tercih etmenizi tavsiye ederim.",Olumsuz
323,SunExpress,Ahmet Ölmez,1,1,Rezalet ötesi bir Hizmet,Frankfurt - Diyarbakir,Europe,Temmuz 2022,20 Temmuz 2022,"Diyarbakır’a geldiğim yaklaşık iki haftalık süreçte kaybolan ayaklı vantilatörüm için hâlâ geri dönüş yapılmadı. Hem Almanya’daki hem de Türkiye’deki SunExpress ofisleri, konuya dair yeterli destek sunmadılar ve yaşanan mağduriyet çözülemedi. Kayıp eşya ve bilgi eksikliği nedeniyle yaşadığım süreç oldukça stresliydi ve müşteri hizmetlerinden hiçbir etkili yardım alamadım. Bu deneyim, SunExpress’in kayıp eşya yönetimi ve müşteri memnuniyeti konusundaki ciddi eksikliklerini gözler önüne seriyor ve firmaya olan güvenimi ciddi şekilde sarstı.",Olumsuz
324,SunExpress,Laura C,6,1,Diyarbakır sunexpress çalışanları boyle büyük bir firmayı mahvediyor,Diyarbakir - Antalya,Domestic,Nisan 2022,14 Nisan 2022,"23F numaralı koltukta Antalya’ya seyahat ederken, 1000 TL ödeyerek bilet almış olmama rağmen uçuş sırasında personelin davranışları ciddi hayal kırıklığı yarattı. Kapıda bilet kesen erkek personel, maskesiz olduğum için marketten maske almamı söyledi, uçakta maske ve ıslak mendil verilmesine rağmen tavırları ve yanlış yönlendirmeleri yolculuk boyunca rahatsız ediciydi. Bu tür davranışlar, yüksek ücret ödenmesine rağmen yolcuların küçük detaylarda bile dikkate alınmadığını ve firmadaki hizmet standartlarının tutarsız olduğunu gösteriyor. SunExpress’in Diyarbakır’daki personel uygulamaları, firmanın genel imajına zarar veriyor ve yolcu deneyimini olumsuz etkiliyor. Diğer illerdeki SunExpress uçuşlarından memnun kalmış olmama rağmen, Diyarbakır şubesindeki deneyimim unutulmaz şekilde kötüydü.",Olumsuz
325,SunExpress,Ozgu T,1,1,PARANIZLA REZİL OLMAK İÇİN BİREBİR,Izmir - Adana,Domestic,Mart 2022,18 Mart 2022,"Paranızla rezil olmak istiyorsanız SunExpress tam adresiniz. Uçuşun kalkış saatini sürekli merak ederek beklemek, uçak içinde hiçbir bilgilendirme yapılmadan uzun süre bekletilmek ve nefes darlığı gibi sorunlar yaşamak bu havayolu ile maalesef mümkün. Rezalet ve sefalet bir arada sunuluyor. Havaalanında yaşanan stres ve yolculuk öncesi, sırası ve sonrası süreçlerdeki düzensizlikler, yolcuların güvenini sarsıyor ve tatil planlarını olumsuz etkiliyor. Kırk yılda bir kendinize bir jest yapıp rahat bir tatil yapmak yerine, SunExpress ile seyahat ederek uzun beklemeler ve stres dolu anlar yaşarsınız. Yolcu memnuniyeti konusunda ciddi eksiklikler mevcut ve firmanın operasyonel süreçleri bu olumsuz deneyimi artırıyor.",Olumsuz
326,SunExpress,Cem Y,4,1,Berbat bir müşteri hizmetleri!,Antalya - Izmir,DomesticEconomy,Ekim 2021,13 Ekim 2021,"Antalya’dan İzmir’e balayı yolculuğu yapmak isterken SunExpress personelinin kaba ve bağırarak konuşan tavırları nedeniyle büyük mağduriyet yaşadık. Yabancı olan nişanlımın PCR test süresi konusunda farklı uygulamalar olduğu halde görevli kişi bizi dinlemedi ve tartışmamamızı söyleyerek sert şekilde uyardı. Diğer SunExpress çalışanları da sorunu çözmek yerine bağırarak konuşmayı sürdürdüler ve bu durum uçuşumuzu kaçırmamıza neden oldu. Müşteriyle iletişim kurma adabı olmayan, empati eksikliği yaşayan ve çatışma yönetimi bilmeyen personel yaklaşımı çok olumsuz bir deneyim oluşturdu.",Olumsuz
